bicCode,Country,City,Company
HAGU,Germany,Schwanau,HERRENKNECHT AG
HAHU,China,SHANGHAI,SHANGHAI HAI HUA SHIPPING CO LTD
HAKU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
HALU,"Korea, Republic of",SEOUL,HEUNG-A SHIPPING CO LTD
HAMU,Germany,HAMBURG,HAPAG LLOYD A.G
HANU,Germany,Hamburg,HCT HANSA CONTAINER TRADING GMBH
HAPU,Netherlands,H.I. AMBACHT,H.A.P. FOODS HOLLAND B.V.
HARU,Netherlands,Rotterdam,HARBOUR RENTAL & SERVICES BV
HASU,Denmark,Copenhagen,MAERSK A/S
HATU,Russian Federation,KALININGRAD,HOST RAIL LTD
HAUU,Uruguay,MONTEVIDEO,HAULDER S.A.
HBBU,HK,"Kowloon, Hong Kong",HABIBA INTERNATIONAL GROUP LIMITED
HBCU,Lebanon,BAABDA,HOLDERCHEM SAL
HBGU,Turkey,SOGANLIK -KARTAL-ISTAMBUL,HABAS SINAI VE TIBBI GAZLAR
HBLU,China,SHANGHAI,SHANGHAI BAILIN INTERNATIONAL TRANSPORTATION CO.LTD
HBNU,United States,"Houston, TX 77032-3219",HALLIBURTON
HBSU,Germany,HAMBURG,HANBAO CONTAIINER SHIPPING & TRADING GMBH
HBTU,Germany,HAMBURG,HANBAO CONTAIINER SHIPPING & TRADING GMBH
HBWU,United Arab Emirates,DUBAI,HAL CHEMICALS LIMITED
HCCU,Germany,HAMBURG,HCCR HAMBURGER CONTAINER & CHASSIS REPARATUR GmbH
HCDU,Austria,BLUDENZ,CONTAINERDIENST HAEMMERLE GMBH
HCGU,United States,"HOUSTON, TX-77013",HOUSTON CONTAINER CONNECTION
HCIU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
HCOU,Germany,HAMBURG,CONICAL CONTAINER INDUSTRIE CONSULTING
HCSU,Netherlands,EUROPOORT,HACON CONTAINERS B.V
HCTU,Canada,Hamilton,HAMILTON CONTAINER TERMINAL
HCVU,"Taiwan, China",MIAO-LI,HONG CHUN ELECTRIC & MACHINERY CO LTD
HCZU,United States,"LONG BEACH, CA 90810",HARDING CONTAINERS INTERNATIONAL INC.
HDFU,"Korea, Republic of",SEOUL,HUADONG FERRY CO LTD
HDGU,"Korea, Republic of",SEOUL,HYUNDAI GLOVIS
HDMU,"Korea, Republic of",SEOUL,"HMM CO., LTD."
HDPU,Russian Federation,Moscow,HIMDILING PRO LTD
HDSU,United Kingdom,LINFORD WOOD  MK14 6BW,KUEHNE + NAGEL DRINKS LOGISTICS LTD
HDXU,"Iran, Islamic Republic of",TEHRAN,HDS LINES
HEFU,Egypt,PORTSAID,PORTSAID STEVEDORING COMPANY
HEIU,Russian Federation,Moscow,HELIUM 24 LLC
HEMU,Bulgaria,GABROVO,TEMPUS LINK LTD
HERU,United States,"PACHECO, CA 94553",HERC RENTALS
HESU,United States,SAN FRANCISCO CA 94127,HUTCHINSON EQUIPMENT SERVICES
HEXU,"Korea, Republic of",SEOUL,HAN EXPRESS
HEYU,Germany,Hamburg,MERCURIUS CONTAINER TRADING GMBH
HFAU,Spain,ONTON-CASTRO URDIALES,DERIVADOS DEL FLUOR SA
HFCU,Germany,FRECHEN,SPEDITION RHEINLAND H.FREUND GMBH&CO. KG
HFDU,China,Jiaozuo,"DO-FLUORIDE CHEMICALS CO.,LTD"
HFLU,Canada,Mississauga,PETRO-CANADA LUBRICANTS INC.
HFXU,Spain,MADRID,MAGHREB CONTAINER INTERNATIONAL S.L
HGAU,United States,"HOUSTON, TX 77084",HYBAS INTERNATIONAL LLC
HGBU,Netherlands,BOTLEK-ROTTERDAM,HOYER GLOBAL TRANSPORT
HGCU,United States,"Honolulu, HI 96813",THE GAS COMPANY LLC D.B.A. HAWAII GAS
HGDU,China,"HANGZHOU, 310051","HANGZHOU GREENDA ELECTRONIC MATERIALS CO., LTD."
HGFU,Netherlands,BOTLEK-ROTTERDAM,HOYER GLOBAL TRANSPORT
HGHU,Netherlands,BOTLEK-ROTTERDAM,HOYER GLOBAL TRANSPORT
HGLU,Ireland,DUBLIN 18,JF HILLEBRAND LIMITED
HGTU,Netherlands,BOTLEK-ROTTERDAM,HOYER GLOBAL TRANSPORT
HHAU,Switzerland,CAROUGE GENEVE,HENRI HARSCH HH SA
HHMU,Norway,TONSBERG,H.HENRIKSEN AS
HHRU,Spain,"SAN JAVIER, MURCIA",HIMOINSA
HHXU,China,QINGDAO,HK HONORTRANS DEVELOPMENT LIMITED
HIBU,Germany,HAMBURG,HOYER GMBH
HICU,Belgium,ZWIJNDRECHT,HAESAERTS INTERMODAL NV
HILU,Netherlands,Galder,HILLSTONE HOLDING B.V.
HIMU,Italy,MILANO,BASELL POLIOLEFINE ITALIA  SRL
HITU,Russian Federation,Moscow,JSC HIMINVESTTRANS
HJLU,HK,WANCHAI,HONGJI (HK) CONTAINER DEVELLOPPEMENT LIMITED
HJMU,Barbados,BRIDGETOWN BB11144,SEACO SRL
HKHU,"Taiwan, China",ZHUBEI CITY,"HONG-KUANG HI TECH, CORP"
HKNU,Germany,MARL,HUBERT KLAESENER JR. FLUESSIGKEISTRANSPORTE GMBH & CO KG
HKTU,Germany,HERTEN,KLAESER INT FACHSPEDITION & FAHRZEUGBAU GMBH
HLBU,Germany,HAMBURG,HAPAG LLOYD A.G
HLCU,Germany,HAMBURG,HAPAG LLOYD A.G
HLEU,"Taiwan, China",Taoyuan County,SHIHLIEN FINE CHEMICALS CO. LTD.
HLGU,Switzerland,LENZBURG,HAEFELI AG
HLMU,Germany,Meppen,LANFER TRANSPORTE GMBH & CO. KG
HLSU,Germany,BREMEN,HLS CONTAINER BREMEN
HLTU,HK,HONG KONG,TRANS DISTANCE LINE LTD
HLXU,Germany,HAMBURG,HAPAG LLOYD A.G
HMCU,United Kingdom,LONDON,EVERGREEN MARINE (UK) LIMITED
HMHU,United States,"HOUSTON, TX 77077",HOOVER FERGUSON UK LIMITED
HMKU,Netherlands,ROTTERDAM,WEC LINES BV
HMMU,"Korea, Republic of",SEOUL,"HMM CO., LTD."
HMPU,Germany,HAMBURG,HOYER GMBH
HMRU,Germany,ALZENAU,HYUNDAI MOTORSPORT GMBH
HMSU,Malta,SPB2807 St.Paul’s Bay,MED LOGISTICS (MALTA) LTD
HNKU,China,Yantai,HONEYTAK INTERMODAL LIMITED
HNLU,Netherlands,ROTTERDAM,VAN OORD SHIP MANAGEMENT
HNPU,Barbados,BRIDGETOWN BB11144,SEACO SRL
HNSU,United States,"PURCHASE, NY 10577",TRITON INTERNATIONAL LTD
HOBU,Netherlands,ZEVENBERGEN,BURG SERVICE BV
HOFU,Switzerland,ROTHRIST,HOFER TANKTRANSPORTE AG
HOLU,Switzerland,ZURICH,HOLCIM (SCHWEIZ) AG
HORU,China,Alashankou,ALASHANKOU HORIZON PETROLEUM AND GAS INC
HOTU,Netherlands,BOTLEK-ROTTERDAM,HOYER GLOBAL TRANSPORT
HOUU,United States,"LONG BEACH, CA 90810",HARDING CONTAINERS INTERNATIONAL INC.
HOYU,Germany,HAMBURG,HOYER GMBH
HPAU,Turkey,BANDIRMA / BALIKESIR,HIDROJEN PEROKSIT AS
HPCU,China,XINXU,"HUIZHOU SINGAMAS ENERGY EQUIPMENT CO,LTD."
HPEU,Germany,HAMBURG,BECKER MARINE SYSTEMS GMBH
HPGU,China,"BINHAI NEW DISTRICT, TIANJIN 300460",TIANJIN SINO-PEAK INTERNATIONAL TRADE CO LTD
HPJU,China,HUAI'AN,"HUAI'AN PORT LOGISTICS GROUP CO.,LTD."
HRZU,United States,"OAKLAND, CA 94610","MATSON NAVIGATION COMPANY, INC"
HSCU,Germany,BREMEN,H&S CONTAINER GMBH
HSIU,Netherlands,BOTLEK-ROTTERDAM,HOYER GLOBAL TRANSPORT
HSLU,Netherlands,SCHIEDAM,HUISMAN EQUIPMENT B.V.
HSTU,Germany,HAMBURG,MACS MARITIME CARRIER SHIPPING GMBH & CO
HTCU,Denmark,KGS.LYNGBY,HALDOR TOPSOE A/S
HTGU,China,Jiujiang,"JIANGXI HUATE ELECTRONIC CHEMICALS CO., LTD"
HTIU,United States,"PEARL RIVER, NY 10965",HUDSON TECHNOLOGIES INC.
HTSU,Russian Federation,MOSCOW,HTS LLC
HTUU,Poland,Janowiec Wlkp,KIECA TRANS
