L2K7,42K7
4FT8,42T8,40T8
42G,42GB,42TG,42G0,42G1,42G2,42G3,42GP,42G4,2CG1,25G1,2EG1,42K7,42KW,22GB,45GB,221G,22G0,22G1,22G2,22G3,24G0,24G1,24G2,24G3,24GP,25G0,26G0,26G1,26G2,26G3,26GP,28G0,28GP,32G0,B2G1,12G0,20G0,20G1,20G2,20G3,20GP,22GP,25GP,2432,24H2,24R2,2042,2242,22TG,20TG,4302,4312,4325,4326,44G0,44G1,44G2,44G3,44GP,4CG0,4CGP,M2G0,P2G0,4002,4020,4025,4026,40G0,40G1,40G2,40G3,40GP,4102,4126,4200,4201,4202,4203,4204,4225,4226,4280,42B0,42B1,42B3,42B4,42B5,42B6,42BK,42BU,4CG1,42H5,42H6,42HR,42HI,42P1,42P2,42P4,42P5,42P8
FR4
4T,42TG,24RT,44RT,40RT,42RT,42T0,42T1,42T2,42T3,42T4,42T5,42T6,42T7,42T8,42T9,42TD,40T0,40T1,40T2,40T3,40T4,40T5,40T6,40T7,40T8,40T9,40TD,40TG,40TN,42TN,48UT,40UT,42UT,45RT,22B4,20B4,2304,2994,2004,2104,2204,2224,22P4,2364,20P4,2164,2264,2234,22T4,2074,20T4,2274,22U4,20U4,22V4,20V4,2064
4C11,4311,4101,4CG1,4161,4131,4011,4211,4511
FG2,22G2,24G2,26G2,20G2,42G2,44G2,40G2,45G2,L5G2,L2G2
25R6,25R1
45G1,45G1,25G1,45GB,45U1,24G1,42G1,44G1,4651,40G1,4CG1,4561,4351,4751,4051,4251,4551,45G0,45G2,45G3,45G4,4510,4511,4514,45GP,45R1,4531,L5G1,45H1
4CK2
5B,45GB,22K5,22B5,20B5,2025,2125,2205,2225,22H5,24H5,20H5,22P5,2365,20P5,2165,2265,22T5,2075,20T5,2275,22U5,20U5,2015,2215,2065,4305,4315,4325,9995,4025,40B5,4225,42B5,42H5,44H5,L2H5,42P5,4365,48P5,4065,40P5,4165,4265,40H5,42T5,40T5,42U5,40U5,4015,4215,49P5
45K6,45H6,4560,4561,45U6
LFU8
LCP9
